ID,CAT DEPTO,CAT MUN,REGION,DEPARTAME_COD,DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,MUNICIPIO_COD,LIN BASE 2014,META,AVA,PER INSC REG,PER INSC,PER BEN EMP,PER BEN BOOTSCAMPS,PER CAP EMP,PER GRAD,EQU ACOMP,EQU ETP TEMP,EQU ETP MAD,CAMB JUEG,AYUDAPPS,TOT STAR UPS,INV MINTIC EJEC,INV MINITC PROY,POR INV MINITC,INV CONTR EJEC,CONTR PROY,INV MINTIC PROY CONT,COSTO,ID_INDICADOR,FECHA CARGUE,FECHA VIGENCIA,META1
,,,Regi�n Pac�fico,52,NARI�O,EL PE�OL,52254,0,Por demanda,0,0,0,3,3,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
5885,,,Regi�n Eje Cafetero,05,ANTIOQUIA,YALI,05885,0,22000,0,0,0,1,1,0,0,0,0,0,0,0,0,"82439,00","82439,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
18094,,,Regi�n Centro Sur,18,CAQUETA,BELEN DE LOS ANDAQUIES,18094,0,22000,0,0,0,2,2,0,0,0,0,0,0,0,0,"92261,00","92261,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Centro Sur,91,AMAZONAS,PUERTO ARICA,91536,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,PAMPLONITA,54520,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Centro Sur,41,HUILA,SAN AGUSTIN,41668,3,Por demanda,0,0,0,5,5,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
54261,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,EL ZULIA,54261,0,22000,0,0,0,4,4,0,0,0,0,0,0,0,0,"111905,00","111905,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Centro Sur,73,TOLIMA,RONCESVALLES,73622,0,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
,,,Regi�n Llano,50,META,URIBE,50370,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
76246,,,Regi�n Pac�fico,76,VALLE DEL CAUCA,EL CAIRO,76246,0,22000,0,0,0,1,1,0,0,0,0,0,0,0,0,"82439,00","82439,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
63470,,,Regi�n Eje Cafetero,63,QUINDIO,MONTENEGRO,63470,0,30000,0,0,0,7,7,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Caribe,70,SUCRE,GALERAS,70235,1,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Llano,85,CASANARE,TAMARA,85400,0,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Centro Orient,25,CUNDINAMARCA,GRANADA,25312,1,Por demanda,0,0,0,5,5,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,BOCHALEMA,54099,1,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,MUTISCUA,54480,0,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Caribe,23,CORDOBA,CHINU,23182,4,Por demanda,0,0,0,3,3,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
86760,,,Regi�n Centro Sur,86,PUTUMAYO,SANTIAGO,86760,0,30000,0,0,0,6,6,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
5212,,,Regi�n Eje Cafetero,05,ANTIOQUIA,COPACABANA,05212,0,30000,0,0,0,24,24,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
25871,,,Regi�n Centro Orient,25,CUNDINAMARCA,VILLAGOMEZ,25871,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,"15076,00","15076,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Centro Orient,15,BOYACA,SOMONDOCO,15761,0,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
,,,Regi�n Centro Orient,15,BOYACA,BUSBANZA,15114,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Eje Cafetero,05,ANTIOQUIA,GUADALUPE,05315,35,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
,,,Regi�n Pac�fico,27,CHOCO,UNION PANAMERICANA,27810,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Centro Orient,15,BOYACA,LA VICTORIA,15401,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
23660,,,Regi�n Caribe,23,CORDOBA,SAHAGUN,23660,0,30000,0,0,0,13,13,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
18785,,,Regi�n Centro Sur,18,CAQUETA,SOLITA,18785,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
47692,,,Regi�n Caribe,47,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,47692,0,52000,0,0,0,1,1,0,0,0,0,0,0,0,0,"2513,00","2513,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Pac�fico,19,CAUCA,SANTA ROSA,19701,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
68533,,,Regi�n Centro Orient,68,SANTANDER,PARAMO,68533,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,"437217,00","437217,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
17524,,,Regi�n Eje Cafetero,17,CALDAS,PALESTINA,17524,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Caribe,13,BOLIVAR,SAN CRISTOBAL,13620,1,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Centro Orient,25,CUNDINAMARCA,COGUA,25200,2,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
19845,,,Regi�n Pac�fico,19,CAUCA,VILLA RICA,19845,0,30000,0,0,0,5,5,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
15104,,,Regi�n Centro Orient,15,BOYACA,BOYACA,15104,0,22000,0,0,0,6,6,0,0,0,0,0,0,0,0,"422017,00","422017,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
44430,,,Regi�n Caribe,44,LA GUAJIRA,MAICAO,44430,0,52000,0,0,0,42,42,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Centro Orient,68,SANTANDER,CHIMA,68176,1,Por demanda,0,0,0,0,0,0,0,1,1,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Centro Orient,15,BOYACA,AQUITANIA,15047,1,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Eje Cafetero,05,ANTIOQUIA,TARSO,05792,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
13490,,,Regi�n Caribe,13,BOLIVAR,NOROSI,13490,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,"10051,00","10051,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,CHINACOTA,54172,0,Por demanda,0,0,0,5,5,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Centro Sur,91,AMAZONAS,TARAPACA,91798,3,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
15511,,,Regi�n Centro Orient,15,BOYACA,PACHAVITA,15511,0,30000,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Pac�fico,19,CAUCA,EL TAMBO,19256,1,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
95200,,,Regi�n Llano,95,GUAVIARE,MIRAFLORES,95200,0,30000,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,CACOTA,54125,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
18753,,,Regi�n Centro Sur,18,CAQUETA,SAN VICENTE DEL CAGUAN,18753,0,52000,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,7691,2020-12-31,2020-12-31,
50330,,,Regi�n Llano,50,META,MESETAS,50330,0,22000,0,0,0,1,1,0,0,0,0,0,0,0,0,"82439,00","82439,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Centro Orient,15,BOYACA,SATIVASUR,15723,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Centro Orient,15,BOYACA,GUAYATA,15325,2,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
15469,,,Regi�n Centro Orient,15,BOYACA,MONIQUIRA,15469,0,22000,0,0,0,2,2,0,0,0,0,0,0,0,0,"19644,00","19644,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
25430,,,Regi�n Centro Orient,25,CUNDINAMARCA,MADRID,25430,0,22000,0,0,0,68,68,0,0,0,0,0,0,0,0,"2410704,00","2410704,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Eje Cafetero,66,RISARALDA,GUATICA,66318,2,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Centro Orient,68,SANTANDER,PUERTO PARRA,68573,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
13490,,,Regi�n Caribe,13,BOLIVAR,NOROSI,13490,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
15189,,,Regi�n Centro Orient,15,BOYACA,CIENEGA,15189,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Caribe,13,BOLIVAR,SAN FERNANDO,13650,0,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
,,,Regi�n Centro Orient,25,CUNDINAMARCA,SUESCA,25772,1,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Pac�fico,27,CHOCO,CONDOTO,27205,0,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
25524,,,Regi�n Centro Orient,25,CUNDINAMARCA,PANDI,25524,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Centro Orient,68,SANTANDER,OCAMONTE,68498,2,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
5665,,,Regi�n Eje Cafetero,05,ANTIOQUIA,SAN PEDRO DE URABA,05665,0,30000,0,0,0,3,3,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
